tra_type,nst07,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
HIRE,GT03,MIO_TKM,FI	2021 	2982 	2441 	3382 	2281 	2454 	2242 	2144 	2295 	2167 	2451 	2791 	2774 	2830 	2911 
HIRE,GT03,MIO_TKM,FR	13120 	13953 	13372 	13572 	13851 	11430 	9594 	9158 	10479 	10835 	11152 	12043 	11776 	10281 	15625 
HIRE,GT03,MIO_TKM,HR	776 	644 	666 	714 	529 	517 	493 	483 	501 	576 	516 	639 	604 	860 	1197 
HIRE,GT03,MIO_TKM,HU	792 	884 	873 	978 	1049 	952 	933 	1647 	1597 	1247 	1336 	1597 	1714 	2088 	2265 
HIRE,GT03,MIO_TKM,IE	909 	895 	682 	808 	782 	831 	710 	531 	541 	521 	466 	523 	611 	829 	538 
HIRE,GT03,MIO_TKM,IT	8540 	8469 	7148 	6936 	7045 	5791 	5429 	6261 	5176 	5996 	6519 	9044 	9811 	10204 	10324 
HIRE,GT03,MIO_TKM,LT	836 	939 	1091 	1016 	1193 	968 	636 	788 	938 	954 	988 	1188 	1071 	1038 	1240 
HIRE,GT03,MIO_TKM,LU	480 	487 	318 	513 	416 	339 	319 	284 	594 	634 	524 	572 	584 	747 	762 
HIRE,GT03,MIO_TKM,LV	1164 	1072 	1217 	1271 	950 	1095 	950 	1056 	1120 	900 	1091 	1002 	814 	515 	1340 
HIRE,GT03,MIO_TKM,ME	: 	4 	4 	1 	2 	6 	4 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT03,MIO_TKM,MK	: 	: 	152 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
HIRE,GT03,MIO_TKM,NL	3207 	3357 	2988 	2794 	3208 	2878 	2852 	2931 	3116 	2890 	3096 	3313 	3104 	3172 	3409 
HIRE,GT03,MIO_TKM,NO	1524 	1230 	1399 	1334 	1586 	1465 	1440 	1290 	1168 	1340 	1434 	1147 	1062 	1099 	1170 
HIRE,GT03,MIO_TKM,PL	15965 	17532 	16672 	15359 	15349 	16289 	11910 	12235 	10946 	12998 	10802 	12147 	11113 	10172 	9562 
HIRE,GT03,MIO_TKM,PT	1745 	1591 	1261 	1293 	1462 	1397 	1260 	1379 	1323 	1324 	929 	1485 	1376 	2284 	2232 
HIRE,GT03,MIO_TKM,RO	1325 	1077 	910 	786 	648 	614 	638 	893 	711 	744 	671 	553 	766 	822 	1367 
HIRE,GT03,MIO_TKM,SE	4461 	4107 	3960 	3944 	3755 	3160 	2951 	2836 	3420 	2198 	2053 	1994 	2220 	2428 	2189 
HIRE,GT03,MIO_TKM,SI	625 	768 	611 	605 	824 	640 	558 	593 	469 	478 	477 	591 	732 	545 	896 
HIRE,GT03,MIO_TKM,SK	1342 	1124 	1437 	1207 	1431 	1536 	1136 	952 	893 	889 	1109 	1040 	1326 	1249 	1404 
HIRE,GT03,MIO_TKM,UK	: 	: 	: 	9398 	10851 	11356 	10156 	9186 	8657 	6812 	8429 	7343 	9524 	8451 	11020 
HIRE,GT03,THS_T,AT	69591 	77991 	68013 	85668 	85502 	88122 	82264 	79156 	80674 	70560 	76023 	74311 	71258 	82888 	90638 
HIRE,GT03,THS_T,BE	31267 	35269 	34092 	34028 	37586 	37020 	32646 	36552 	55094 	59197 	53557 	54530 	52494 	54608 	64820 
HIRE,GT03,THS_T,BG	23008 	24462 	17401 	13523 	16476 	16353 	16936 	21468 	20668 	16912 	18180 	16709 	12648 	15966 	20281 
HIRE,GT03,THS_T,CH	74339 	66710 	75312 	69732 	64590 	63704 	55271 	60338 	61542 	56868 	66514 	73391 	62387 	60999 	71294 
HIRE,GT03,THS_T,CY	12667 	6705 	5881 	6177 	6756 	5135 	3495 	2204 	2816 	2650 	5048 	6932 	8669 	7578 	10126 
HIRE,GT03,THS_T,CZ	99363 	121884 	103140 	124184 	115150 	99323 	100676 	110174 	86731 	64913 	73037 	74946 	77319 	90852 	106553 
HIRE,GT03,THS_T,DE	664023 	666893 	655161 	669854 	682878 	669118 	670710 	611322 	635252 	620866 	599949 	637263 	555558 	340491 	350015 
HIRE,GT03,THS_T,DK	37890 	40246 	42148 	39519 	41491 	49614 	44716 	46888 	42024 	37135 	37583 	40811 	36705 	27925 	39503 
HIRE,GT03,THS_T,EE	7070 	6867 	5899 	6929 	7415 	7517 	9176 	8052 	5361 	8608 	10700 	10319 	7635 	10139 	12727 
