freq,tra_cov,nst07,typpack,unit,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,GT04,TOTAL,THS_T,EU15	: 	21853 	19590 	21078 	19372 	22466 	22695 	22854 	22767 	21437 	21374 	19753 	20488 	: 	: 	: 
A,TOTAL,GT04,TOTAL,THS_T,EU25	: 	21754 	19564 	21159 	19443 	22471 	22686 	22872 	22868 	21653 	21524 	19869 	20615 	: 	: 	: 
A,TOTAL,GT04,TOTAL,THS_T,EU27_2007	: 	21872 	19666 	21294 	19618 	22597 	22853 	22917 	22932 	21699 	21597 	19951 	20688 	: 	: 	: 
A,TOTAL,GT04,TOTAL,THS_T,EU27_2020	: 	21686 	19438 	21012 	19248 	22091 	22598 	22820 	22602 	21354 	21228 	19868 	20666 	20728 	20008 	19675 
A,TOTAL,GT04,TOTAL,THS_T,EU28	: 	21886 	19672 	21300 	19633 	22599 	22864 	22918 	22933 	21700 	21597 	19952 	20687 	: 	: 	: 
A,TOTAL,GT04,TOTAL,THS_T,FR	1550 	1442 	1524 	1578 	1454 	1558 	1644 	1483 	1465 	1383 	1380 	1259 	1292 	1220 	1224 	1221 
A,TOTAL,GT04,TOTAL,THS_T,HR	: 	89 	115 	78 	119 	73 	142 	146 	223 	312 	233 	173 	201 	173 	132 	117 
A,TOTAL,GT04,TOTAL,THS_T,HU	224 	240 	220 	208 	185 	134 	131 	246 	300 	441 	320 	224 	292 	310 	269 	251 
A,TOTAL,GT04,TOTAL,THS_T,IT	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,GT04,TOTAL,THS_T,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 
A,TOTAL,GT04,TOTAL,THS_T,LU	26 	262 	498 	542 	559 	498 	543 	692 	854 	77 	67 	77 	100 	102 	79 	77 
A,TOTAL,GT04,TOTAL,THS_T,NL	16845 	17753 	14854 	15272 	14518 	18887 	19759 	19284 	18591 	17968 	18356 	18838 	18845 	19534 	19552 	18755 
A,TOTAL,GT04,TOTAL,THS_T,PL	44 	15 	6 	1 	2 	9 	2 	: 	18 	20 	23 	25 	11 	: 	: 	: 
A,TOTAL,GT04,TOTAL,THS_T,RO	: 	23 	41 	37 	81 	84 	160 	209 	296 	290 	239 	193 	204 	228 	235 	751 
A,TOTAL,GT04,TOTAL,THS_T,SK	: 	24 	7 	2 	1 	: 	1 	: 	11 	9 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT04,TOTAL,THS_T,UK	195 	199 	234 	287 	385 	508 	266 	98 	331 	346 	369 	84 	21 	: 	: 	: 
A,TOTAL,GT05,TOTAL,THS_T,BE	3 	9 	12 	82 	88 	88 	86 	122 	95 	98 	72 	41 b	58 	26 	99 	112 
A,TOTAL,GT05,TOTAL,THS_T,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	8 	: 	: 	0 n	: 	: 	: 
A,TOTAL,GT05,TOTAL,THS_T,DE	75 	63 	40 	50 	19 	18 	21 	23 	77 	95 	108 	116 	112 	120 	108 	126 
A,TOTAL,GT05,TOTAL,THS_T,EU15	: 	302 	384 	634 	616 	503 	402 	476 	548 	740 	574 	477 	517 	: 	: 	: 
A,TOTAL,GT05,TOTAL,THS_T,EU25	: 	302 	384 	634 	616 	503 	402 	476 	548 	740 	574 	477 	517 	: 	: 	: 
A,TOTAL,GT05,TOTAL,THS_T,EU27_2007	: 	304 	383 	634 	616 	503 	402 	476 	548 	740 	574 	477 	517 	: 	: 	: 
A,TOTAL,GT05,TOTAL,THS_T,EU27_2020	: 	304 	383 	634 	616 	503 	402 	476 	548 	740 	574 	477 	517 	403 	443 	533 
A,TOTAL,GT05,TOTAL,THS_T,EU28	: 	304 	383 	634 	616 	503 	402 	476 	548 	740 	574 	477 	517 	: 	: 	: 
A,TOTAL,GT05,TOTAL,THS_T,FR	: 	212 	343 	503 	509 	421 	275 	329 	372 	523 	395 	271 	333 	281 	232 	244 
A,TOTAL,GT05,TOTAL,THS_T,HR	: 	: 	3 	: 	: 	1 	: 	: 	: 	0 n	: 	1 	: 	: 	: 	: 
A,TOTAL,GT05,TOTAL,THS_T,HU	: 	: 	5 	: 	: 	1 	: 	: 	: 	0 n	: 	1 	: 	: 	: 	: 
A,TOTAL,GT05,TOTAL,THS_T,IT	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,GT05,TOTAL,THS_T,LU	: 	8 	20 	30 	20 	53 	55 	44 	31 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT05,TOTAL,THS_T,NL	134 	154 	69 	112 	144 	149 	167 	177 	121 	123 	93 	162 	153 	81 	284 	381 
A,TOTAL,GT05,TOTAL,THS_T,PL	9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT05,TOTAL,THS_T,RO	: 	2 	: 	: 	: 	: 	: 	: 	: 	8 	: 	: 	0 n	: 	: 	: 
A,TOTAL,GT06,TOTAL,THS_T,AT	: 	20 	: 	14 	9 	18 	23 	16 	12 	35 	37 	28 	26 	29 	19 	10 
A,TOTAL,GT06,TOTAL,THS_T,BE	1181 	1075 	1220 	1677 	1794 	1297 	1330 	1293 	1164 	1238 	1272 	483 b	486 	599 	612 	673 
A,TOTAL,GT06,TOTAL,THS_T,BG	: 	45 	24 	21 	45 	37 	29 	46 	20 	6 	3 	3 	32 	18 	25 	26 
A,TOTAL,GT06,TOTAL,THS_T,CZ	: 	9 	9 	26 	40 	42 	34 	7 	9 	3 	0 n	: 	: 	: 	: 	: 
A,TOTAL,GT06,TOTAL,THS_T,DE	4809 	4003 	3406 	3733 	3252 	3524 	3467 	3367 	3068 	3050 	2939 	2717 	2916 	2811 	3033 	2511 
A,TOTAL,GT06,TOTAL,THS_T,EU15	: 	5269 	4753 	5717 	5235 	4791 	4712 	4452 	3895 	3931 	3930 	2874 	2876 	: 	: 	: 
A,TOTAL,GT06,TOTAL,THS_T,EU25	: 	5308 	4759 	5739 	5273 	4836 	4745 	4468 	3907 	3944 	3944 	2877 	2882 	: 	: 	: 
A,TOTAL,GT06,TOTAL,THS_T,EU27_2007	: 	5418 	4799 	5772 	5331 	4917 	4812 	4512 	3931 	3946 	3949 	2871 	2892 	: 	: 	: 
A,TOTAL,GT06,TOTAL,THS_T,EU27_2020	: 	5408 	4799 	5772 	5254 	4901 	4733 	4358 	3854 	3863 	3872 	2846 	2899 	3081 	5076 	4940 
A,TOTAL,GT06,TOTAL,THS_T,EU28	: 	5418 	4799 	5772 	5329 	4913 	4809 	4512 	3929 	3946 	3949 	2874 	2899 	: 	: 	: 
A,TOTAL,GT06,TOTAL,THS_T,FR	1195 	761 	524 	621 	518 	419 	465 	386 	396 	707 	400 	337 	290 	249 	327 	373 
A,TOTAL,GT06,TOTAL,THS_T,HR	: 	10 	7 	38 	84 	47 	95 	83 	20 	24 	28 	27 	26 	11 	1 	4 
A,TOTAL,GT06,TOTAL,THS_T,HU	23 	15 	9 	41 	86 	52 	101 	93 	26 	35 	38 	32 	30 	27 	17 	12 
A,TOTAL,GT06,TOTAL,THS_T,IT	: 	: 	0 n	0 n	1 	0 n	2 	0 n	1 	1 	0 	0 n	0 n	0 	0 n	1 
A,TOTAL,GT06,TOTAL,THS_T,LU	20 	6 	3 	11 	2 	: 	2 	8 	2 	4 	5 	8 	10 	25 	21 	21 
A,TOTAL,GT06,TOTAL,THS_T,NL	4073 	3974 	3346 	4330 	3887 	3498 	3431 	3142 	3049 	3002 	3099 	2692 	2557 	2622 	4414 	4462 
A,TOTAL,GT06,TOTAL,THS_T,PL	88 	82 	36 	50 	20 	14 	15 	14 	7 	1 	: 	0 n	4 	24 	13 	: 
A,TOTAL,GT06,TOTAL,THS_T,RO	: 	120 	54 	52 	62 	103 	126 	83 	21 	10 	16 	1 	37 	18 	28 	51 
A,TOTAL,GT06,TOTAL,THS_T,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 d	15 
A,TOTAL,GT06,TOTAL,THS_T,SK	: 	1 	4 	: 	: 	: 	1 	: 	: 	1 	7 	: 	: 	: 	: 	: 
A,TOTAL,GT06,TOTAL,THS_T,UK	8 	10 	: 	0 	75 	12 	76 	155 	75 	83 	78 	28 	0 	: 	: 	: 
A,TOTAL,GT07,TOTAL,THS_T,AT	: 	2325 	1924 	2241 	2018 	2117 	2172 	1903 	1298 	1369 	1387 	1307 	1392 	1231 	1210 	816 
A,TOTAL,GT07,TOTAL,THS_T,BE	12117 	12899 	13272 	15566 	16656 	16949 	15541 	14546 	13654 	13967 	13271 	6264 b	6272 	6697 	6287 	7196 
A,TOTAL,GT07,TOTAL,THS_T,BG	: 	570 	1434 	1639 	863 	733 	691 	1024 	980 	1027 	1038 	1201 	1136 	1092 	1111 	852 
A,TOTAL,GT07,TOTAL,THS_T,CZ	: 	1 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT07,TOTAL,THS_T,DE	36550 	37945 	34348 	35933 	35841 	38009 	38658 	37578 	37261 	37328 	37986 	32885 	38093 	34101 	34099 	32720 
A,TOTAL,GT07,TOTAL,THS_T,EU15	: 	86860 	80973 	86061 	87137 	87835 	83668 	78308 	79491 	83048 	81584 	70439 	75572 	: 	: 	: 
A,TOTAL,GT07,TOTAL,THS_T,EU25	: 	87160 	81407 	87194 	87466 	88126 	84123 	78945 	80161 	84341 	82571 	71605 	76832 	: 	: 	: 
A,TOTAL,GT07,TOTAL,THS_T,EU27_2007	: 	88236 	82798 	88217 	88295 	88817 	84606 	79763 	81122 	85533 	83703 	72765 	78281 	: 	: 	: 
A,TOTAL,GT07,TOTAL,THS_T,EU27_2020	: 	87753 	82463 	87787 	87903 	88391 	84430 	79024 	80991 	85403 	83650 	72699 	78009 	71838 	74508 	71070 
A,TOTAL,GT07,TOTAL,THS_T,EU28	: 	88254 	82806 	88216 	88290 	88818 	84608 	79764 	81145 	85546 	83709 	72778 	78279 	: 	: 	: 
A,TOTAL,GT07,TOTAL,THS_T,FR	9538 	8095 	8391 	9017 	8116 	8739 	8339 	7193 	8053 	7749 	6533 	5006 	5394 	4594 	4042 	4132 
A,TOTAL,GT07,TOTAL,THS_T,HR	: 	394 	385 	722 	387 	441 	574 	691 	738 	810 	686 	651 	759 	666 	881 	588 
A,TOTAL,GT07,TOTAL,THS_T,HU	1400 	1550 	1179 	1850 	1069 	1113 	1164 	1389 	1169 	1420 	1440 	1441 	1621 	1451 	1696 	1199 
A,TOTAL,GT07,TOTAL,THS_T,IT	152 	79 	10 	29 	68 	86 	46 	30 	15 	17 	25 	25 	26 	92 	107 	86 
A,TOTAL,GT07,TOTAL,THS_T,LT	0 n	0 n	0 n	0 n	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT07,TOTAL,THS_T,LU	396 	547 	491 	508 	504 	515 	352 	382 	355 	445 	399 	408 	413 	300 	343 	341 
A,TOTAL,GT07,TOTAL,THS_T,NL	76982 	69998 	65642 	70724 	71780 	70789 	66321 	62423 	64367 	67824 	66056 	60738 	66816 	62709 	67405 	62388 
A,TOTAL,GT07,TOTAL,THS_T,PL	14 	17 	20 	18 	6 	: 	1 	: 	42 	585 	315 	566 	661 	451 	230 	221 
A,TOTAL,GT07,TOTAL,THS_T,RO	: 	822 	2010 	2345 	1419 	1030 	865 	1309 	1383 	1590 	1542 	1651 	1731 	1498 	1705 	1972 
A,TOTAL,GT07,TOTAL,THS_T,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	138 d	792 
A,TOTAL,GT07,TOTAL,THS_T,SK	: 	1022 	1120 	1564 	868 	733 	745 	153 	96 	25 	19 	: 	140 	106 	278 	1 
A,TOTAL,GT07,TOTAL,THS_T,UK	670 	501 	343 	429 	387 	427 	179 	740 	154 	142 	59 	79 	270 	: 	: 	: 
A,TOTAL,GT08,TOTAL,THS_T,AT	: 	945 	781 	1077 	1143 	1110 	989 	1054 	947 	969 	895 	526 	842 	761 	865 	679 
A,TOTAL,GT08,TOTAL,THS_T,BE	10690 	9819 	9509 	20156 	21567 	15665 	16621 	16146 	16006 	16736 	17939 	10230 b	11451 	11770 	12177 	11973 
A,TOTAL,GT08,TOTAL,THS_T,BG	: 	262 	795 	1460 	1231 	1252 	1272 	1550 	1077 	1512 	1495 	1462 	1979 	2157 	2156 	1766 
A,TOTAL,GT08,TOTAL,THS_T,CZ	: 	57 	75 	97 	100 	83 	118 	54 	54 	43 	25 	36 	69 	29 	35 	18 
A,TOTAL,GT08,TOTAL,THS_T,DE	22752 	21975 	18014 	21157 	22421 	22957 	22575 	23374 	21948 	23029 	23547 	20786 	21844 	21165 	21347 	17976 
A,TOTAL,GT08,TOTAL,THS_T,EU15	: 	37704 	32741 	43938 	45825 	43809 	47578 	51457 	49806 	52104 	55363 	48338 	52847 	: 	: 	: 
A,TOTAL,GT08,TOTAL,THS_T,EU25	: 	37888 	32777 	44053 	46060 	43962 	47843 	51710 	50027 	52413 	55714 	48686 	53229 	: 	: 	: 
A,TOTAL,GT08,TOTAL,THS_T,EU27_2007	: 	38594 	33273 	45079 	46817 	44630 	48580 	52821 	50696 	53623 	56816 	49827 	54795 	: 	: 	: 
A,TOTAL,GT08,TOTAL,THS_T,EU27_2020	: 	38652 	33311 	45163 	46905 	44694 	48614 	52869 	50746 	53641 	56839 	49862 	54829 	54089 	56029 	55352 
A,TOTAL,GT08,TOTAL,THS_T,EU28	: 	38652 	33311 	45163 	46905 	44694 	48614 	52869 	50746 	53641 	56839 	49862 	54829 	: 	: 	: 
A,TOTAL,GT08,TOTAL,THS_T,FR	4011 	4305 	3748 	3760 	3086 	3432 	4033 	4304 	4032 	3931 	3781 	3411 	3735 	3246 	4237 	3657 
A,TOTAL,GT08,TOTAL,THS_T,HR	: 	395 	219 	477 	570 	696 	683 	643 	681 	599 	711 	648 	797 	836 	797 	519 
A,TOTAL,GT08,TOTAL,THS_T,HU	492 	548 	374 	689 	640 	731 	698 	756 	673 	812 	909 	676 	921 	951 	845 	689 
A,TOTAL,GT08,TOTAL,THS_T,IT	140 	: 	34 	52 	41 	29 	179 	110 	62 	70 	82 	91 	73 	178 	178 	165 
A,TOTAL,GT08,TOTAL,THS_T,LU	304 	280 	209 	309 	269 	313 	244 	330 	253 	452 	376 	373 	448 	494 	436 	309 
A,TOTAL,GT08,TOTAL,THS_T,NL	30812 	28859 	24932 	28511 	28742 	34934 	40413 	47218 	46614 	49123 	51260 	51276 	56920 	55498 	58139 	59526 
A,TOTAL,GT08,TOTAL,THS_T,PL	587 	344 	107 	199 	177 	126 	87 	89 	148 	162 	127 	110 	40 	48 	46 	34 
A,TOTAL,GT08,TOTAL,THS_T,RO	: 	905 	826 	1577 	1248 	1292 	1318 	1583 	1178 	1767 	1605 	1766 	2365 	2574 	2390 	2063 
A,TOTAL,GT08,TOTAL,THS_T,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55 
A,TOTAL,GT08,TOTAL,THS_T,SK	: 	185 	252 	334 	382 	368 	315 	192 	171 	165 	134 	118 	128 	98 	85 	61 
