unit,nst07,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
MIO_TKM,GT06,DE	5428 	5521 	4144 	4138 	3796 	3638 	3852 	4946 	4907 	4925 	5206 	5425 	5307 	5116 	6323 
MIO_TKM,GT06,DK	527 	519 	534 	486 	512 	538 	698 	630 	570 	558 	525 	540 	225 	106 	195 
MIO_TKM,GT06,EE	2 	2 	1 	7 	3 	2 	2 	4 	6 	8 	12 	27 	27 	16 	24 
MIO_TKM,GT06,EL	5 	7 	9 	10 	11 	12 	18 	24 	26 	23 	27 	36 	101 	76 	118 
MIO_TKM,GT06,ES	571 	592 	516 	609 	636 	663 	727 	809 	793 	576 	447 	379 	294 	163 	518 
MIO_TKM,GT06,EU27_2007	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT06,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT06,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT06,FI	1808 	1945 	1766 	1886 	2055 	1924 	1820 	1756 	1726 	1813 	1990 	2023 	2089 	1970 	2683 
MIO_TKM,GT06,FR	287 	326 	221 	238 	333 	340 	317 	313 	340 	606 	578 	587 	985 	985 	730 
MIO_TKM,GT06,HR	32 	36 	52 	29 	16 	17 	23 	24 	31 	45 	51 	68 	85 	84 	134 
MIO_TKM,GT06,HU	505 	492 	479 	324 	487 	398 	342 	259 	321 	353 	267 	286 	464 	419 	486 
MIO_TKM,GT06,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT06,IT	421 	557 	515 	497 	478 	500 	447 	442 	449 	545 	743 	806 	: c	733 	: c
MIO_TKM,GT06,LT	105 	212 	244 	283 	241 	205 	250 	201 	244 	259 	219 	267 	228 	186 	296 
MIO_TKM,GT06,LU	0 	0 	0 	0 	0 	0 	0 	: 	: 	0 	0 	: 	: 	: 	: 
MIO_TKM,GT06,LV	340 	744 	654 	629 	506 	309 	445 	442 	305 	275 	320 	292 	283 	212 	316 
MIO_TKM,GT06,ME	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_TKM,GT06,MK	9 	17 	18 	21 	21 	22 	22 	27 	36 	38 	39 	46 	68 	89 	: 
MIO_TKM,GT06,NL	132 	126 	121 	88 	116 	120 	187 	172 	131 	88 	144 	: c	: c	119 	153 
MIO_TKM,GT06,NO	59 	90 	112 	110 	306 	358 	182 	224 	205 	124 	21 	47 	0 	0 	0 
MIO_TKM,GT06,PL	571 	570 	525 	398 	560 	527 	398 	454 	521 	489 	428 	378 	428 	354 	567 
MIO_TKM,GT06,PT	51 	52 	64 	65 	62 	71 	93 	101 	73 	64 	67 	45 	271 	180 	106 
MIO_TKM,GT06,RO	822 	1082 	1033 	776 	605 	806 	578 	580 	564 	580 	439 	340 	271 	167 	368 
MIO_TKM,GT06,SE	: c	2702 	2704 	3142 	3426 	2733 	2913 	2477 	2785 	2678 	3577 	3447 	3474 	3614 	3667 
MIO_TKM,GT06,SI	124 	78 	160 	138 	142 	152 	165 	121 	128 	153 	160 	201 	179 	163 	318 
MIO_TKM,GT06,SK	85 	68 	58 	59 	81 	60 	86 	60 	64 	65 	73 	96 	91 	89 	191 
MIO_TKM,GT06,TR	152 	87 	125 	76 	69 	157 	143 	159 	206 	203 	280 	325 	212 	94 	78 
MIO_TKM,GT06,UK	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
MIO_TKM,GT07,AT	1462 	1407 	1427 	1420 	1440 	1521 	1448 	1673 	1741 	1596 	1638 	1566 	1449 	1394 	: c
MIO_TKM,GT07,BE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	437 	475 	388 	462 
MIO_TKM,GT07,BG	829 	859 	559 	614 	628 	462 	324 	324 	268 	375 	751 	913 	964 	928 	1296 
MIO_TKM,GT07,CH	615 	637 	700 	838 	820 	842 	872 	891 	919 	980 	941 	926 	950 	1057 	1010 
MIO_TKM,GT07,CZ	1655 	1633 	1366 	1547 	1263 	1498 	1535 	1644 	1621 	1227 	1067 	1179 	1225 	985 	1031 
MIO_TKM,GT07,DE	10217 	9672 	9595 	10215 	10954 	9795 	10639 	10758 	10443 	10819 	10442 	11092 	11675 	11486 	13124 
MIO_TKM,GT07,DK	0 	0 	0 	1 	1 	0 	0 	0 	0 	: 	: 	: 	: 	1 	3 
MIO_TKM,GT07,EE	479 	693 	482 	768 	823 	687 	759 	1672 	1694 	3140 	3182 	4310 	4785 	4341 	4391 
MIO_TKM,GT07,EL	2 	3 	5 	6 	25 	26 	24 	17 	13 	23 	33 	25 	30 	40 	44 
MIO_TKM,GT07,ES	198 	165 	153 	169 	176 	193 	179 	227 	189 	187 	327 	399 	491 	516 	311 
MIO_TKM,GT07,EU27_2007	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT07,EU27_2020	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
MIO_TKM,GT07,EU28	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: 	: 	: 	: 	: 
