freq,unit,nst07,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,THS_T,GT05,EE	4 	6 	3 	5 	9 	9 	12 	8 	8 	6 	4 	1 	1 	1 	0 
A,THS_T,GT05,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 	0 
A,THS_T,GT05,ES	2 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	526 	0 	278 	311 
A,THS_T,GT05,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,THS_T,GT05,FI	1 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 
A,THS_T,GT05,FR	9 	6 	4 	0 	0 	0 	1 	10 	3 	0 	0 	0 	1 	0 	0 
A,THS_T,GT05,HR	1 	1 	1 	2 	2 	3 	2 	2 	2 	2 	0 	2 	38 	5 	8 
A,THS_T,GT05,HU	154 	6 	4 	7 	6 	8 	24 	23 	21 	30 	13 	11 	28 	8 	12 
A,THS_T,GT05,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT05,IT	: c	17 	: c	580 	81 	: c	563 	465 	277 	110 	81 	85 	72 	105 	74 
A,THS_T,GT05,LT	46 	5 	8 	14 	15 	16 	18 	15 	20 	29 	25 	22 	45 	81 	19 
A,THS_T,GT05,LU	: 	: 	: 	: 	0 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT05,LV	147 	61 	86 	70 	68 	81 	120 	62 	84 	80 	43 	51 	52 	27 	24 
A,THS_T,GT05,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 
A,THS_T,GT05,MK	: 	4 	1 	1 	2 	4 	5 	3 	2 	3 	3 	2 	1 	0 	0 
A,THS_T,GT05,NL	2 	1 	: c	: c	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT05,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT05,PL	24 	6 	4 	3 	19 	42 	21 	2 	1 	16 	26 	14 	28 	24 	13 
A,THS_T,GT05,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT05,RO	15 	5 	8 	4 	12 	4 	0 	8 	16 	1 	121 	0 	7 	0 	0 
A,THS_T,GT05,SE	1 	1 	1 	0 	0 	1 	1 	1 	0 	0 	0 	0 	1 	5 	: c
A,THS_T,GT05,SI	1 	1 	1 	2 	2 	3 	2 	2 	2 	2 	0 	719 	0 	0 	0 
A,THS_T,GT05,SK	1 	1 	1 	1 	1 	1 	1 	1 	1 	0 	0 	0 	0 	0 	0 
A,THS_T,GT05,TR	0 	0 	22 	35 	79 	76 	90 	79 	51 	53 	47 	49 	138 	177 	125 
A,THS_T,GT05,UK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
A,THS_T,GT06,AT	: c	6027 	6266 	5807 	5354 	5196 	4945 	4945 	5046 	5364 	5384 	4899 	4776 	5569 	5468 
A,THS_T,GT06,BE	850 	957 	1218 	1098 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,THS_T,GT06,BG	518 	243 	287 	318 	346 	270 	215 	249 	209 	127 	135 	152 	219 	211 	150 
A,THS_T,GT06,CH	1969 	1526 	1439 	1151 	860 	750 	1196 	1222 	1501 	926 	975 	875 	731 	726 	900 
A,THS_T,GT06,CZ	1481 	1414 	1453 	1436 	1527 	1499 	1081 	944 	1036 	1281 	1192 	1581 	2085 	4230 	1986 
A,THS_T,GT06,DE	11683 	9440 	9858 	10045 	10198 	9725 	9155 	9138 	7619 	7541 	8065 	7722 	7601 	10565 	10252 
A,THS_T,GT06,DK	641 	333 	703 	1578 	1523 	1671 	1759 	1900 	2114 	1650 	1579 	1454 	1628 	1576 	1601 
A,THS_T,GT06,EE	130 	81 	107 	128 	78 	58 	44 	33 	22 	24 	34 	51 	28 	77 	17 
A,THS_T,GT06,EL	541 	337 	458 	225 	155 	149 	143 	127 	99 	85 	89 	80 	68 	50 	35 
A,THS_T,GT06,ES	793 	269 	464 	679 	805 	1102 	1305 	1241 	1085 	1049 	1015 	1023 	847 	948 	995 
A,THS_T,GT06,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,THS_T,GT06,FI	10669 	8478 	8837 	8790 	8682 	8164 	7886 	7847 	8039 	8479 	8493 	8098 	7450 	9602 	7058 
A,THS_T,GT06,FR	1353 	1630 	1579 	1119 	1415 	1674 	1076 	900 	781 	664 	479 	549 	459 	609 	480 
A,THS_T,GT06,HR	593 	377 	381 	322 	267 	221 	139 	107 	101 	81 	83 	102 	215 	181 	141 
A,THS_T,GT06,HU	2983 	2327 	2444 	1481 	1333 	1578 	1428 	1240 	1478 	1717 	1932 	1291 	1833 	1786 	1450 
A,THS_T,GT06,IE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,THS_T,GT06,IT	: c	1578 	: c	3068 	2572 	2028 	2040 	1824 	1371 	1981 	1893 	1834 	1934 	1933 	1468 
A,THS_T,GT06,LT	1288 	783 	1048 	1250 	959 	1016 	970 	866 	1110 	1157 	1199 	1233 	978 	902 	453 
A,THS_T,GT06,LU	: 	: 	: 	: 	0 	0 	: 	: 	0 	0 	0 	0 	0 	0 	3 
A,THS_T,GT06,LV	1036 	669 	878 	913 	966 	931 	1015 	1532 	1607 	1112 	1680 	2044 	2148 	1877 	1203 
A,THS_T,GT06,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 
A,THS_T,GT06,MK	: 	383 	290 	203 	168 	160 	152 	114 	97 	98 	90 	90 	74 	73 	38 
A,THS_T,GT06,NL	888 	708 	: c	: c	908 	647 	669 	905 	962 	669 	635 	499 	691 	704 	722 
A,THS_T,GT06,NO	0 	0 	0 	335 	159 	1631 	3159 	2368 	2284 	1998 	1800 	476 	570 	370 	227 
