freq,tra_type,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,GT17,THS_T,SK	156 	43 	57 	57 	40 	85 	115 	116 	46 	110 	216 	188 	46 	40 	72 
A,TOTAL,GT17,THS_T,UK	1260 	604 	778 	12281 	19128 	32173 	33872 	36306 	33705 	37297 	30803 	42921 	: 	: 	: 
A,TOTAL,GT18,THS_T,AT	15383 	13521 	12821 	13970 	13380 	12779 	13352 	14202 	14919 	12882 	14482 	14537 	17120 	14105 	14438 
A,TOTAL,GT18,THS_T,BE	13794 	14981 	12576 	11705 	8969 	13885 	13575 	11801 	5922 	7935 	9947 	6448 	7341 	7150 	6620 
A,TOTAL,GT18,THS_T,BG	248 	1655 	2230 	2006 	2970 	4605 	7640 	9197 	9337 	11590 	7540 	7040 	11222 	12726 	7378 
A,TOTAL,GT18,THS_T,CH	7795 	7925 	7764 	7086 	6600 	6183 	6341 	7350 	9631 	8985 	8669 	8962 	12324 	12306 	10779 
A,TOTAL,GT18,THS_T,CY	344 	208 	67 	201 	115 	96 	76 	64 	124 	167 	342 	200 	312 	333 	336 
A,TOTAL,GT18,THS_T,CZ	7654 	6028 	6582 	7079 	5556 	8482 	7202 	8651 	9189 	12230 	11976 	9783 	17572 	19820 	23577 
A,TOTAL,GT18,THS_T,DE	: 	: 	92244 	120799 	124075 	143483 	158735 	179989 	183812 	196455 	212248 	226936 	219380 	231380 	239041 
A,TOTAL,GT18,THS_T,DK	18970 	12615 	15157 	16015 	17348 	18904 	17664 	17627 	16979 	13702 	13064 	13414 	14245 	13448 	13892 
A,TOTAL,GT18,THS_T,EE	8 	1162 	1499 	1735 	1919 	2362 	1870 	2151 	2188 	1335 	1305 	1328 	947 	1163 	1074 
A,TOTAL,GT18,THS_T,EL	2146 	3934 	3876 	3256 	2460 	2618 	4237 	7121 	5438 	7506 	5556 	3427 	2705 	1970 	6518 
A,TOTAL,GT18,THS_T,ES	1454 	9117 	9974 	11192 	10727 	9734 	11589 	12728 	13031 	15132 	17834 	17949 	14705 	17461 	22583 
A,TOTAL,GT18,THS_T,EU27_2020	527453 	417896 	542577 	563822 	561656 	613613 	635118 	645214 	645221 	713416 	780785 	829142 	818252 	874151 	941384 
A,TOTAL,GT18,THS_T,FI	25318 	20766 	21151 	19615 	16326 	18541 	16534 	20430 	22011 	22721 	24914 	22115 	22753 	22115 	22973 
A,TOTAL,GT18,THS_T,FR	259216 	178305 	189129 	191110 	169354 	184603 	174794 	150408 	135815 	156719 	179634 	191577 	171900 	197133 	224958 
A,TOTAL,GT18,THS_T,HR	18 	11 	19 	64 	231 	433 	554 	1043 	1554 	1509 	1820 	1928 	2235 	3186 	3286 
A,TOTAL,GT18,THS_T,HU	4656 	4529 	4874 	5457 	5616 	6868 	8545 	8589 	9942 	7149 	8082 	8894 	6449 	7170 	7725 
A,TOTAL,GT18,THS_T,IE	12272 	8862 	9797 	9544 	9772 	8613 	9403 	8390 	10626 	10946 	13195 	13051 	12226 	12188 	12961 
A,TOTAL,GT18,THS_T,IT	33231 	34167 	34823 	22959 	44868 	39869 	34889 	31419 	27648 	34156 	40127 	60802 	65464 	67524 	84676 
A,TOTAL,GT18,THS_T,LT	4942 	5195 	5342 	5321 	5641 	6695 	7185 	7099 	8506 	12692 	15608 	20731 	25098 	29700 	29842 
A,TOTAL,GT18,THS_T,LU	2861 	2498 	2875 	3735 	2605 	2399 	5142 	2248 	1159 	1395 	2480 	1883 	1415 	1556 	1505 
A,TOTAL,GT18,THS_T,LV	1067 	1193 	734 	1633 	1469 	1602 	3348 	3091 	4193 	4361 	4779 	4556 	4453 	5446 	4267 
A,TOTAL,GT18,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	13 	10 	30 	15 	3 	1 	: 
A,TOTAL,GT18,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	113 	: 	: 
A,TOTAL,GT18,THS_T,NL	51823 	46191 	57374 	50344 	50001 	51566 	53705 	46621 	48399 	55520 	66832 	65168 	64955 	66635 	70643 
A,TOTAL,GT18,THS_T,NO	11433 	9826 	14079 	10918 	12184 	13571 	15040 	13584 	7714 	10013 	6529 	7154 	7225 	8109 	12246 
A,TOTAL,GT18,THS_T,PL	12608 	11342 	4667 	5741 	11974 	17303 	24306 	28304 	30341 	35669 	33477 	47011 	49358 	50684 	47288 
A,TOTAL,GT18,THS_T,PT	1866 	2512 	11168 	12267 	13633 	10561 	7143 	6338 	7992 	7625 	7300 	6786 	5338 	5867 	6378 
A,TOTAL,GT18,THS_T,RO	8057 	7439 	7435 	7211 	7449 	9860 	14468 	18360 	25633 	32323 	36554 	36715 	30882 	34695 	37500 
A,TOTAL,GT18,THS_T,SE	40250 	24728 	28818 	33524 	27797 	29544 	31273 	41399 	40905 	43842 	43698 	38400 	39452 	41908 	43084 
A,TOTAL,GT18,THS_T,SI	587 	1081 	316 	20 	: 	: 	: 	: 	: 	6 	: 	: 	: 	: 	: 
A,TOTAL,GT18,THS_T,SK	8680 	5855 	7028 	7319 	7401 	8205 	7891 	7944 	9558 	7847 	7993 	8463 	10725 	8787 	8842 
A,TOTAL,GT18,THS_T,UK	: 	: 	: 	92476 	130500 	121365 	113244 	138613 	143440 	131829 	143669 	233089 	: 	: 	: 
A,TOTAL,GT19,THS_T,AT	7681 	6748 	6767 	7410 	7058 	6814 	7006 	7466 	7930 	6893 	7734 	7554 	8827 	1081 	1464 
A,TOTAL,GT19,THS_T,BE	10211 	9575 	12525 	14653 	13006 	12907 	16009 	7555 	7034 	8349 	6041 	3689 	3349 	5761 	10650 
A,TOTAL,GT19,THS_T,BG	129 	856 	544 	945 	1098 	937 	643 	834 	931 	723 	597 	310 	191 	620 	449 
A,TOTAL,GT19,THS_T,CH	806 	744 	1268 	1107 	889 	1284 	1474 	1205 	1084 	1513 	1529 	1376 	1247 	1940 	1182 
A,TOTAL,GT19,THS_T,CY	1 	33 	54 	62 	34 	47 	11 	12 	32 	54 	10 	17 	14 	48 	90 
A,TOTAL,GT19,THS_T,CZ	2870 	1505 	3395 	5508 	3480 	3683 	5975 	9534 	12064 	4484 	5305 	6840 	8809 	9453 	11172 
A,TOTAL,GT19,THS_T,DE	144848 	126920 	24417 	8098 	10887 	9367 	6093 	6925 	5307 	6355 	7765 	12630 	12242 	12572 	11854 
A,TOTAL,GT19,THS_T,DK	1898 	3354 	6148 	4997 	6015 	6812 	4328 	4181 	4038 	3958 	3496 	2641 	2790 	2929 	2931 
A,TOTAL,GT19,THS_T,EE	5189 	2023 	783 	489 	331 	728 	335 	398 	746 	268 	310 	223 	107 	32 	137 
A,TOTAL,GT19,THS_T,EL	4243 	1717 	3038 	1922 	2113 	399 	447 	38304 	1121 	15063 	21272 	19759 	13081 	17625 	13389 
A,TOTAL,GT19,THS_T,ES	31175 	31624 	30768 	28502 	29578 	29214 	32664 	32206 	33197 	34391 	37839 	38042 	35509 	42171 	45488 
A,TOTAL,GT19,THS_T,EU27_2020	239662 	220074 	125458 	121241 	119710 	129780 	132987 	172544 	132180 	140852 	154973 	165863 	158675 	164353 	188266 
A,TOTAL,GT19,THS_T,FI	1115 	1037 	911 	823 	2107 	1593 	1158 	988 	692 	1281 	3776 	656 	1177 	957 	513 
A,TOTAL,GT19,THS_T,FR	: 	6616 	9981 	14632 	13598 	15991 	14439 	13673 	10494 	9353 	11194 	9074 	8276 	9389 	11800 
A,TOTAL,GT19,THS_T,HR	6 	35 	69 	62 	49 	54 	34 	36 	17 	7 	28 	17 	54 	32 	39 
A,TOTAL,GT19,THS_T,HU	270 	118 	275 	1021 	2234 	2392 	2705 	3515 	3061 	3075 	3112 	2580 	1598 	1404 	1176 
A,TOTAL,GT19,THS_T,IE	: 	21 	45 	98 	120 	65 	134 	83 	151 	28 	77 	62 	26 	22 	: 
A,TOTAL,GT19,THS_T,IT	21502 	14707 	5081 	5965 	7777 	7109 	12635 	14626 	17151 	20568 	21084 	32512 	33068 	29242 	37467 
A,TOTAL,GT19,THS_T,LT	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT19,THS_T,LU	1240 	2 	1 	110 	122 	20 	4 	6 	1 	: 	681 	1115 	428 	201 	62 
A,TOTAL,GT19,THS_T,LV	137 	75 	294 	805 	203 	290 	235 	601 	400 	22 	2 	126 	46 	43 	230 
A,TOTAL,GT19,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	4 	5 	7 	: 	0 	11 	: 
A,TOTAL,GT19,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 
A,TOTAL,GT19,THS_T,NL	985 	863 	17930 	22110 	13275 	18507 	11938 	16231 	13705 	11230 	10980 	11842 	11816 	6883 	11350 
A,TOTAL,GT19,THS_T,NO	8914 	5914 	9800 	7945 	6762 	10555 	7335 	12940 	2344 	3720 	5334 	4808 	6102 	6204 	5579 
A,TOTAL,GT19,THS_T,PL	975 	9400 	210 	195 	673 	2772 	4911 	4730 	3701 	2330 	202 	2650 	4311 	9799 	13343 
A,TOTAL,GT19,THS_T,PT	1082 	1358 	783 	204 	358 	3167 	6655 	6737 	6332 	7189 	7987 	6854 	6447 	7539 	7283 
A,TOTAL,GT19,THS_T,RO	1122 	932 	1362 	1805 	3104 	3278 	2370 	1531 	1414 	2044 	2196 	1824 	1363 	1214 	931 
A,TOTAL,GT19,THS_T,SE	854 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1085 	1398 	271 	1543 
A,TOTAL,GT19,THS_T,SI	1889 	463 	71 	824 	2084 	2313 	2116 	2265 	2485 	3036 	3052 	3689 	3422 	4623 	4903 
A,TOTAL,GT19,THS_T,SK	236 	84 	5 	: 	403 	1322 	140 	106 	177 	150 	234 	70 	325 	441 	0 
A,TOTAL,GT19,THS_T,UK	164223 	132463 	133553 	53524 	6628 	31958 	25904 	32418 	33935 	21664 	21370 	26573 	: 	: 	: 
A,TOTAL,GT20,THS_T,BE	5626 	4253 	4586 	5590 	8145 	5072 	3793 	1472 	2767 	50 	372 	145 	69 	2819 	10010 
A,TOTAL,GT20,THS_T,BG	19084 	19238 	7310 	4373 	4726 	4279 	2558 	3557 	3068 	2831 	1768 	1627 	1075 	1388 	657 
A,TOTAL,GT20,THS_T,CH	1056 	1219 	1970 	1155 	1006 	1177 	1118 	2891 	1752 	1360 	2136 	1096 	1665 	2491 	2112 
A,TOTAL,GT20,THS_T,CY	826 	671 	295 	170 	121 	95 	178 	123 	97 	142 	631 	653 	763 	262 	766 
A,TOTAL,GT20,THS_T,CZ	2718 	686 	106 	94 	133 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT20,THS_T,DE	: 	: 	86 	67 	1 	1 	62 	32 	10 	: 	18 	6 	12 	: 	: 
A,TOTAL,GT20,THS_T,EE	1475 	599 	330 	326 	250 	266 	441 	680 	344 	1105 	770 	381 	408 	618 	636 
A,TOTAL,GT20,THS_T,EL	6420 	14237 	9965 	1852 	1701 	1849 	3454 	3255 	1506 	1884 	3052 	4018 	3694 	7626 	4718 
A,TOTAL,GT20,THS_T,EU27_2020	274142 	243858 	228500 	193160 	162060 	167140 	166360 	156282 	217515 	216886 	218923 	183511 	175967 	201222 	227149 
A,TOTAL,GT20,THS_T,FI	109 	65 	55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT20,THS_T,FR	2 	218 	731 	294 	436 	700 	485 	897 	615 	2623 	619 	332 	378 	257 	527 
A,TOTAL,GT20,THS_T,HR	51 	: 	4 	: 	: 	: 	: 	: 	: 	5 	: 	13 	59 	100 	94 
A,TOTAL,GT20,THS_T,HU	23269 	21502 	14675 	5118 	3997 	3330 	2381 	378 	61156 	69794 	82098 	78259 	79613 	96277 	93836 
A,TOTAL,GT20,THS_T,IE	980 	137 	54 	4 	37 	9 	0 	1 	: 	: 	: 	3 	: 	95 	11 
A,TOTAL,GT20,THS_T,IT	157997 	140036 	136435 	123474 	92465 	99534 	97006 	91319 	86767 	71117 	54125 	22463 	27318 	28928 	25166 
A,TOTAL,GT20,THS_T,LU	3262 	2295 	1850 	1684 	1549 	2252 	2618 	3473 	3230 	2637 	1728 	2592 	2563 	2523 	2871 
A,TOTAL,GT20,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	1 	8 	2 	1 	2 	1 	: 
A,TOTAL,GT20,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	111 	: 	: 
A,TOTAL,GT20,THS_T,NL	8123 	6372 	: 	: 	: 	5 	4 	16 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,GT20,THS_T,NO	105 	0 	: 	: 	: 	: 	1 	18 	90 	: 	: 	: 	: 	: 	5 
A,TOTAL,GT20,THS_T,PL	35080 	23849 	43627 	42159 	41294 	37247 	36477 	34775 	40529 	48128 	53953 	57171 	45147 	39409 	59910 
A,TOTAL,GT20,THS_T,PT	19 	605 	38 	13 	262 	4312 	9443 	9905 	9279 	6967 	7233 	7775 	8302 	9783 	8845 
A,TOTAL,GT20,THS_T,RO	5709 	2617 	811 	1846 	2031 	2881 	4696 	2960 	3436 	5962 	4669 	4707 	4540 	5614 	7791 
A,TOTAL,GT20,THS_T,SE	3314 	6474 	7539 	6074 	4047 	4806 	2750 	3439 	4706 	3608 	7878 	3342 	2011 	5436 	11310 
A,TOTAL,GT20,THS_T,SI	2 	5 	3 	20 	: 	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 
A,TOTAL,GT20,THS_T,SK	76 	: 	: 	: 	866 	502 	14 	: 	4 	32 	10 	24 	15 	87 	: 
A,TOTAL,GT20,THS_T,UK	: 	: 	: 	286 	365 	154 	8221 	2670 	1643 	1334 	1469 	187 	: 	: 	: 
A,TOTAL,TOTAL,THS_T,AT	369460 	336698 	331042 	344747 	333971 	325483 	349544 	351068 	376399 	386858 	393312 	402079 	373068 	403510 	390424 
A,TOTAL,TOTAL,THS_T,BE	317637 	297879 	296189 	289203 	291380 	300608 	299476 	295057 	291522 	300121 	285526 	283979 	273251 	277828 	273307 
A,TOTAL,TOTAL,THS_T,BG	176345 	147838 	130989 	136840 	141622 	162357 	155089 	163742 	150410 	155345 	145987 	116231 	139119 	162460 	163160 
A,TOTAL,TOTAL,THS_T,CH	290349 	284293 	282128 	303142 	300596 	295769 	303323 	289384 	284813 	291532 	293075 	301273 	316484 	288042 	307770 
A,TOTAL,TOTAL,THS_T,CY	41619 	28523 	32247 	26050 	22964 	16122 	14585 	14402 	19682 	25595 	29308 	29361 	26041 	27670 	38550 
A,TOTAL,TOTAL,THS_T,CZ	431855 	370115 	355911 	349278 	339314 	351517 	386243 	439472 	433928 	461053 	480863 	505124 	460918 	501379 	474823 
A,TOTAL,TOTAL,THS_T,DE	3078346 	2769201 	2734605 	2986736 	2891837 	2938701 	3052628 	3035342 	3111875 	3161849 	3200936 	3208244 	3119657 	3107994 	3060982 
A,TOTAL,TOTAL,THS_T,DK	193560 	149377 	165708 	178006 	176354 	173917 	178146 	181232 	184726 	179062 	167534 	167747 	178098 	171555 	174842 
A,TOTAL,TOTAL,THS_T,EE	42312 	30088 	27315 	32913 	31321 	31080 	27358 	28162 	34581 	28969 	28494 	28373 	23281 	28894 	27156 
A,TOTAL,TOTAL,THS_T,EL	628565 	644545 	577447 	506003 	400137 	436249 	403336 	420028 	419233 	388915 	361961 	354091 	289254 	271004 	290032 
A,TOTAL,TOTAL,THS_T,ES	2120494 	1711314 	1566705 	1466502 	1239140 	1124833 	1184866 	1258749 	1285612 	1409713 	1475205 	1542517 	1468180 	1626818 	1588191 
A,TOTAL,TOTAL,THS_T,EU27_2020	15396187 	13771110 	13540788 	13526294 	12510664 	12437176 	12657417 	12673347 	12825666 	13270763 	13262542 	13556760 	13032346 	13687883 	13623967 
A,TOTAL,TOTAL,THS_T,FI	423614 	350588 	397813 	317740 	299397 	274637 	280131 	271912 	278957 	280744 	274346 	270462 	261920 	259023 	243739 
A,TOTAL,TOTAL,THS_T,FR	2203239 	1939465 	2015538 	2090664 	2008418 	1999913 	1918601 	1796777 	1727615 	1714295 	1619369 	1634951 	1508025 	1648961 	1631147 
A,TOTAL,TOTAL,THS_T,HR	112052 	93756 	76033 	75767 	66552 	68787 	67327 	67430 	73572 	73437 	74901 	82272 	82088 	86462 	87821 
A,TOTAL,TOTAL,THS_T,HU	268352 	238633 	208921 	190154 	171074 	175386 	200461 	206671 	212685 	205532 	227580 	223800 	206934 	242174 	226448 
A,TOTAL,TOTAL,THS_T,IE	253115 	142126 	123116 	109661 	106465 	107222 	112825 	117090 	140743 	146543 	148765 	158396 	139987 	153466 	163000 
A,TOTAL,TOTAL,THS_T,IT	1520415 	1468954 	1527763 	1339672 	1121313 	1023872 	963056 	957006 	901503 	885451 	920732 	978883 	933601 	987085 	1047318 
A,TOTAL,TOTAL,THS_T,LT	59427 	44697 	44716 	46019 	48428 	52346 	57591 	58601 	63571 	76980 	89105 	100802 	107042 	113135 	100752 
A,TOTAL,TOTAL,THS_T,LU	58529 	52649 	60725 	60687 	54482 	51480 	58723 	45715 	50824 	47292 	48846 	55303 	44931 	48225 	50339 
A,TOTAL,TOTAL,THS_T,LV	57540 	41350 	50745 	58330 	55873 	63825 	67420 	67552 	69077 	71701 	81143 	77248 	79247 	86386 	86379 
A,TOTAL,TOTAL,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	839 	836 	808 	885 	800 	793 	: 
A,TOTAL,TOTAL,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4991 	: 	: 
A,TOTAL,TOTAL,THS_T,NL	621287 	616903 	657874 	658032 	631898 	642236 	640018 	641875 	656562 	666166 	680186 	688995 	684492 	702161 	695112 
A,TOTAL,TOTAL,THS_T,NO	288645 	257629 	266814 	256418 	251512 	271349 	293231 	283172 	268120 	255470 	254346 	244312 	243236 	266275 	266855 
A,TOTAL,TOTAL,THS_T,PL	1093406 	1170478 	1216083 	1322237 	1245053 	1300608 	1300382 	1264960 	1313657 	1501811 	1390184 	1506450 	1500104 	1580517 	1599513 
A,TOTAL,TOTAL,THS_T,PT	294411 	258976 	222147 	217190 	154485 	148177 	149828 	150358 	147788 	157803 	156651 	155866 	131115 	147066 	143483 
A,TOTAL,TOTAL,THS_T,RO	365136 	293831 	174206 	184164 	188960 	191879 	191308 	199220 	216621 	226796 	237496 	257004 	266976 	307357 	324895 
A,TOTAL,TOTAL,THS_T,SE	374803 	334348 	322689 	331393 	295209 	281568 	381724 	423191 	433312 	455772 	481576 	449624 	475494 	493018 	477911 
A,TOTAL,TOTAL,THS_T,SI	91239 	75284 	81020 	75615 	62748 	65340 	74142 	70508 	75033 	86211 	85406 	91775 	90869 	98910 	103842 
A,TOTAL,TOTAL,THS_T,SK	199429 	163491 	143244 	132690 	132270 	129032 	142608 	147225 	156179 	176750 	177131 	187184 	168653 	154828 	160802 
A,TOTAL,TOTAL,THS_T,UK	1776203 	1460797 	1521135 	1486133 	1464456 	1348987 	1348887 	1468144 	1450280 	1417482 	1425190 	1470486 	: 	: 	: 
A,TOTAL,UNK,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 
