freq,tra_type,nst07,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,GT05,THS_T,IT	8555 	11700 	8306 	10751 	12465 	9741 	8612 	8519 	10139 	6479 	6665 	7801 	8302 	6173 	8289 
A,TOTAL,GT05,THS_T,LT	295 	248 	224 	242 	292 	270 	339 	299 	309 	431 	386 	574 	495 	630 	1397 
A,TOTAL,GT05,THS_T,LU	163 	113 	71 	78 	66 	102 	125 	104 	80 	32 	30 	54 	37 	25 	51 
A,TOTAL,GT05,THS_T,LV	214 	107 	143 	177 	187 	184 	178 	162 	201 	138 	173 	108 	121 	131 	79 
A,TOTAL,GT05,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	1 	1 	0 	: 
A,TOTAL,GT05,THS_T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	51 	: 	: 
A,TOTAL,GT05,THS_T,NL	3961 	3829 	5445 	5147 	4582 	4797 	4415 	4158 	4181 	3789 	3690 	5160 	3993 	3931 	3852 
A,TOTAL,GT05,THS_T,NO	293 	469 	639 	505 	463 	398 	644 	533 	649 	736 	706 	1085 	302 	1248 	892 
A,TOTAL,GT05,THS_T,PL	3157 	4552 	4219 	4044 	4440 	4610 	3978 	4302 	4378 	5741 	5570 	5841 	4331 	6502 	5386 
A,TOTAL,GT05,THS_T,PT	1238 	1169 	1083 	1372 	811 	1040 	1101 	1139 	1121 	1194 	1064 	983 	574 	945 	649 
A,TOTAL,GT05,THS_T,RO	2850 	1448 	1400 	1272 	1114 	1396 	1332 	1145 	1357 	1256 	1528 	1745 	1515 	1648 	1405 
A,TOTAL,GT05,THS_T,SE	1071 	714 	428 	455 	602 	387 	991 	1726 	743 	1293 	969 	2120 	547 	1038 	2288 
A,TOTAL,GT05,THS_T,SI	529 	273 	321 	340 	304 	306 	312 	265 	321 	380 	436 	344 	294 	372 	331 
A,TOTAL,GT05,THS_T,SK	793 	707 	933 	911 	744 	1076 	993 	766 	988 	1045 	910 	684 	556 	500 	655 
A,TOTAL,GT05,THS_T,UK	11947 	15818 	15477 	11095 	10462 	15632 	11744 	11436 	13366 	15575 	11392 	10544 	: 	: 	: 
A,TOTAL,GT06,THS_T,AT	29705 	25420 	28494 	27726 	26288 	26289 	27296 	26657 	30979 	30208 	31638 	32122 	22004 	20197 	20354 
A,TOTAL,GT06,THS_T,BE	18756 	18016 	16888 	16317 	14889 	15216 	14041 	15040 	12505 	12346 	9729 	9876 	7992 	11872 	11167 
A,TOTAL,GT06,THS_T,BG	3471 	2255 	2646 	3281 	2840 	4007 	5085 	4983 	5619 	4841 	3593 	3245 	4526 	5721 	3878 
A,TOTAL,GT06,THS_T,CH	5149 	3868 	4535 	5536 	4799 	5373 	5223 	4334 	4425 	3905 	5297 	3998 	4231 	4327 	4349 
A,TOTAL,GT06,THS_T,CY	544 	284 	520 	646 	356 	334 	133 	306 	81 	513 	422 	469 	313 	316 	362 
A,TOTAL,GT06,THS_T,CZ	23554 	18225 	19981 	13420 	12274 	12564 	13238 	13659 	12647 	12642 	11999 	10844 	11050 	13595 	11490 
A,TOTAL,GT06,THS_T,DE	139765 	119913 	121963 	126807 	117366 	112937 	116311 	114748 	112518 	111514 	111737 	110649 	105341 	106990 	98014 
A,TOTAL,GT06,THS_T,DK	7801 	7806 	5853 	5379 	5580 	4713 	3991 	4329 	3526 	3597 	2736 	2604 	2078 	2172 	1781 
A,TOTAL,GT06,THS_T,EE	4805 	1999 	1951 	4027 	2155 	3981 	4312 	2981 	5742 	3498 	2887 	3878 	4282 	5830 	4498 
A,TOTAL,GT06,THS_T,EL	9046 	9800 	7223 	8930 	6144 	4526 	6897 	4638 	6254 	4670 	6002 	5355 	5683 	6185 	4557 
A,TOTAL,GT06,THS_T,ES	50089 	41773 	42008 	43014 	45379 	40809 	44080 	44729 	52115 	48911 	51845 	52937 	47810 	55661 	53580 
A,TOTAL,GT06,THS_T,EU27_2020	604377 	547568 	547176 	530642 	496376 	509159 	516601 	523065 	549607 	557138 	527756 	534587 	518441 	551108 	501229 
A,TOTAL,GT06,THS_T,FI	31634 	17754 	26390 	16687 	15799 	16416 	13580 	16925 	16252 	18356 	17780 	18279 	15382 	17899 	15724 
A,TOTAL,GT06,THS_T,FR	45544 	57685 	53180 	37552 	34268 	35419 	32244 	28924 	32003 	33678 	29419 	26885 	24946 	24011 	19679 
A,TOTAL,GT06,THS_T,HR	6121 	5298 	5867 	6633 	6289 	6177 	6957 	8147 	8504 	8881 	9284 	8469 	7748 	8830 	9547 
A,TOTAL,GT06,THS_T,HU	6587 	5376 	5829 	5824 	6958 	6290 	7615 	7507 	11073 	10160 	10432 	9501 	7997 	10184 	10023 
A,TOTAL,GT06,THS_T,IE	7244 	5540 	5988 	4725 	4368 	4265 	4746 	4397 	5788 	4950 	5954 	5048 	4951 	5324 	5071 
A,TOTAL,GT06,THS_T,IT	48402 	53184 	53205 	51867 	43073 	44667 	34155 	34505 	39240 	43130 	41455 	41903 	35890 	40435 	40998 
